platform,item_id,price,is_self_operated,crawl_date,cleaning_version
JD.com,JD-0184,6018.0,no,2026-05-12,CL-v2.0
JD.com,JD-0185,6026.0,no,2026-05-12,CL-v2.0
JD.com,JD-0186,6069.0,no,2026-05-12,CL-v2.0
JD.com,JD-0187,6088.0,no,2026-05-12,CL-v2.0
JD.com,JD-0188,6118.0,no,2026-05-12,CL-v2.0
JD.com,JD-0189,6126.0,no,2026-05-12,CL-v2.0
JD.com,JD-0190,6189.0,no,2026-05-12,CL-v2.0
JD.com,JD-0191,6189.0,no,2026-05-12,CL-v2.0
JD.com,JD-0192,6189.0,no,2026-05-12,CL-v2.0
JD.com,JD-0193,6198.0,no,2026-05-12,CL-v2.0
JD.com,JD-0194,6218.0,no,2026-05-12,CL-v2.0
JD.com,JD-0195,6319.0,no,2026-05-12,CL-v2.0
JD.com,JD-0196,6319.0,no,2026-05-12,CL-v2.0
JD.com,JD-0197,6319.0,no,2026-05-12,CL-v2.0
JD.com,JD-0198,6328.0,no,2026-05-12,CL-v2.0
JD.com,JD-0199,6339.0,no,2026-05-12,CL-v2.0
JD.com,JD-0200,6368.0,no,2026-05-12,CL-v2.0
JD.com,JD-0201,6368.0,no,2026-05-12,CL-v2.0
JD.com,JD-0202,6379.0,no,2026-05-12,CL-v2.0
JD.com,JD-0203,6417.0,no,2026-05-12,CL-v2.0
JD.com,JD-0204,6428.0,no,2026-05-12,CL-v2.0
JD.com,JD-0205,6428.0,no,2026-05-12,CL-v2.0
JD.com,JD-0206,6469.0,no,2026-05-12,CL-v2.0
JD.com,JD-0207,6479.0,no,2026-05-12,CL-v2.0
JD.com,JD-0208,6499.0,no,2026-05-12,CL-v2.0
JD.com,JD-0209,6499.0,no,2026-05-12,CL-v2.0
JD.com,JD-0210,6499.0,no,2026-05-12,CL-v2.0
JD.com,JD-0211,6499.0,no,2026-05-12,CL-v2.0
JD.com,JD-0212,6528.0,no,2026-05-12,CL-v2.0
JD.com,JD-0213,6549.0,no,2026-05-12,CL-v2.0
JD.com,JD-0214,6549.0,no,2026-05-12,CL-v2.0
JD.com,JD-0215,6580.0,no,2026-05-12,CL-v2.0
JD.com,JD-0216,6679.0,no,2026-05-12,CL-v2.0
JD.com,JD-0217,6699.0,no,2026-05-12,CL-v2.0
JD.com,JD-0218,6748.0,no,2026-05-12,CL-v2.0
JD.com,JD-0219,6798.0,no,2026-05-12,CL-v2.0
JD.com,JD-0220,6799.0,no,2026-05-12,CL-v2.0
JD.com,JD-0221,6818.0,no,2026-05-12,CL-v2.0
JD.com,JD-0222,6818.0,no,2026-05-12,CL-v2.0
JD.com,JD-0223,6818.0,no,2026-05-12,CL-v2.0
JD.com,JD-0224,6818.0,no,2026-05-12,CL-v2.0
JD.com,JD-0225,6889.0,no,2026-05-12,CL-v2.0
JD.com,JD-0226,6918.0,no,2026-05-12,CL-v2.0
JD.com,JD-0227,6918.0,no,2026-05-12,CL-v2.0
JD.com,JD-0228,6949.0,no,2026-05-12,CL-v2.0
JD.com,JD-0229,6953.6,no,2026-05-12,CL-v2.0
JD.com,JD-0230,7009.0,no,2026-05-12,CL-v2.0
JD.com,JD-0231,7018.0,no,2026-05-12,CL-v2.0
JD.com,JD-0232,7028.0,no,2026-05-12,CL-v2.0
JD.com,JD-0233,7118.0,no,2026-05-12,CL-v2.0
JD.com,JD-0234,7218.0,no,2026-05-12,CL-v2.0
JD.com,JD-0235,7218.0,no,2026-05-12,CL-v2.0
JD.com,JD-0236,7218.0,no,2026-05-12,CL-v2.0
